className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Ironclad,44,19,25,43.2,2.89,3,10,3.43,4,8,9.14,10,22,7.51,2.75,25,7903.66,7566,15301,5182.34,4804,9813,10538.16,10942,18888,0,0,0,16.97,16.4,25.5,0,0,0,330.52,316,531,442.16,451,747,29.32,30,47,20.8,20,35,9.61,10,12,145.32,144,307,2889.64,2982,4525,515.75,494,818,295.86,299,405,42.23,50,110,0.88,0.859,1,0.51,0.5,2,0.56,0.47,1.19
Jailer,52,32,20,61.5,3.75,3,13,3.71,4,7,11.63,13,21,7.59,5,23,12177.27,12454,24508,7680.48,8071,16155,8405.6,7683,15441,0,0,0,24.16,24.9,36.2,0,0,0,449.15,458,653,598.02,599,884,29.23,29,54,26.46,26,50,10.15,10,14,155.6,150,367,3215.69,3237,5788,546.52,568,744,309.29,315,447,44.35,40,103,0.88,0.902,1,0.62,0.5,1.6,1.04,0.93,2.29
Jirina,38,24,14,63.2,4,4,10,2.74,3,8,10.05,10,21,9.65,8.33,28,11196.89,10512,24726,6388.08,6383,12904,7425.37,7159,14007,3820.18,3814,9479,20.58,21.2,34.4,12.08,11.4,22.6,395.82,413,536,500.29,502,677,37,35,76,14.61,14,30,9.71,10,13,148.37,156,344,3039.16,3112,4769,562.5,562,819,296.5,294,445,30.42,36,78,0.91,0.903,1,0.74,0.6,2,0.96,0.9,2.55
Cleric,30,18,12,60,3.37,3,8,3.63,4,9,11.93,14,22,9.68,5.5,27,8385.53,7865,14571,5774.43,5020,13546,7208.3,7395,12455,6023.97,5688,13469,18.67,17.4,34.3,18.43,19.1,34.5,309.53,307,364,366.23,363,417,45.67,49,73,37.6,38,63,10.07,10,13,174.7,185,431,3142.2,3129,4557,543.6,545,740,303.5,309,428,42.8,50,112,0.87,0.894,1,0.57,0.5,1.3,0.99,0.83,2.58
Eggchanter,39,19,20,48.7,1.59,1,5,3.51,4,8,8.87,11,18,7.25,4.25,22,5994.21,5609,12022,3577.82,3644,6077,7318.23,7207,14881,5064.9,4623,10896,12.76,13.5,17.9,17.53,17.3,31.9,133.56,125,202,211.49,211,304,29.67,29,51,15.26,14,26,9,9,12,148.18,152,372,2584.72,2479,3954,490.31,478,723,276.59,276,411,40.54,46,92,0.87,0.887,1,0.3,0.2,1.2,0.61,0.44,1.84
Bruiser,41,15,26,36.6,3.32,3,13,4.27,5,8,8.15,7,20,5.53,2.33,24,10397.63,10494,18335,6148.49,5435,12023,7888.71,7487,15856,275.61,273,613,20.59,19.8,36.7,0.93,1,1.6,347.95,340,545,525.41,520,761,42.61,41,66,31.8,30,48,9.51,9,13,157.66,158,373,2896.07,2929,4659,519.2,473,763,288.05,279,433,49.46,53,117,0.86,0.837,1,0.59,0.4,2,0.88,0.73,2
Vanguard,31,12,19,38.7,2.74,2,7,4.45,5,7,8.87,7,24,4.11,1.5,20,11076.42,10773,18298,5759.35,6366,10512,9487.1,9271,15134,34.84,0,311,19.09,19.8,28.7,0.12,0,1,463.52,466,741,590.87,606,813,44.23,43,81,26.9,25,43,9.58,10,13,145.1,135,341,2903.16,2826,4956,505.13,480,710,290.94,284,453,54.29,56,97,0.84,0.833,1,0.47,0.3,1.6,0.64,0.63,1.32
Kratoma,36,18,18,50,5.56,5,17,3.86,5,8,9.47,10,18,9.09,5,29,12950.44,11971,25746,7821.33,7082,16201,6526.94,6631,13161,364.36,335,712,26.18,24.9,40.5,1.22,1.2,2.3,298.69,288,414,565.86,564,825,21.92,21,33,21.53,20,35,10.22,10,13,147.78,137,368,3290.83,3415,4821,592.03,568,882,288.22,270,401,48,53,105,0.86,0.859,1,0.99,0.8,3,1.33,1.41,2.58
Tamer,24,14,10,58.3,5.38,5,16,4.75,4,9,9.58,11,18,5.9,4.5,23,14738.46,14615,27236,9157.5,9175,16511,5853.63,6380,8859,3461.54,3236,5770,32.39,32.6,46.6,12.36,12.9,16.9,320.88,321,506,529.79,548,712,34.96,35,64,12.79,12,21,10.17,11,13,128.88,115,278,3292.42,3361,5181,589.63,587,815,272.33,286,397,59.71,56,126,0.82,0.839,1,0.93,1,2.6,1.78,1.66,4.49
Zephyr,19,7,12,36.8,2.79,3,8,4.21,4,8,8.32,8,17,4.73,1.83,23,9616.89,9964,15195,5194.11,4946,9196,7298.89,6929,11138,266.26,286,482,18.14,18,33.5,0.92,0.8,1.6,378.53,348,635,485.58,450,799,31.68,30,50,32.37,35,56,9.42,10,12,171.37,193,368,2801.63,3043,4043,512.21,468,794,282.21,278,420,47.79,46,89,0.85,0.839,1,0.52,0.4,1.8,0.78,0.65,1.62
Fusilier,31,20,11,64.5,7.35,8,17,3.1,2,8,9.45,9,20,10.78,8.33,27,18196.35,18440,32910,10298.65,11189,18953,4829.58,4307,10406,567.39,547,1549,35.35,36.3,49,1.91,1.9,3.3,411.65,408,646,714.19,705,1044,45.48,45,78,14.55,14,26,10.58,11,15,139.87,148,250,3546.32,3668,5925,658.81,669,883,287.35,282,467,41.23,30,108,0.88,0.895,1,1.38,1.4,2.7,2.76,2.44,8.55
Lynx,38,20,18,52.6,6.45,6,16,4.97,5,10,7.89,8,21,4.79,4,23,15546.66,14940,32553,9627.55,8971,20695,7342.84,7266,13485,416.05,431,950,31.78,31.2,49.6,1.38,1.5,2.3,558.92,553,979,903.08,863,1535,50.18,52,85,38.45,35,65,10.32,11,13,142.97,148,305,3419.95,3453,5185,583.76,582,930,289.47,283,417,63.42,68,148,0.82,0.831,1,1.08,1.1,2.6,1.4,1.49,2.95
Healer,36,14,22,38.9,2.89,2,12,4.22,5,9,9.83,10,23,6.94,2.17,28,7574.5,7762,12515,4831.47,5088,7911,8269.94,8745,15174,5285.44,4673,13016,16.11,16.4,24.3,17.23,17.3,31.7,150.92,148,202,208.19,206,272,44.53,48,75,16.83,16,28,9.86,10,13,152.53,154,358,2982.39,3111,5036,517.92,478,731,291.64,303,423,51.94,61,117,0.85,0.811,1,0.47,0.4,1.6,0.71,0.54,2.45
Oracle,17,15,2,88.2,5.65,5,13,1.53,1,7,13.82,13,19,15.66,18,23,13762.12,12068,22446,8572.76,7631,17232,4674.47,4062,11255,354.59,393,689,28.76,28.1,40.9,1.22,1.4,1.9,430.53,408,679,587.94,544,891,22.06,21,34,21.53,22,32,10.53,11,13,160.59,147,269,3454.71,3437,5157,676.18,667,833,293,301,421,21,15,102,0.95,0.955,1,1.11,0.9,2,2.24,2.02,3.88
Wanderer,44,27,17,61.4,5.43,5,13,3.45,3,8,10.3,11,22,9.12,7,27,16680.73,16702,27917,9840.66,10081,18932,5752.61,5413,11604,357.7,374,657,34.08,34.5,53.4,1.24,1.3,2.1,665.11,636,1361,1186.77,1125,2099,20.64,21,34,16.07,16,25,10.3,11,13,178.41,170,331,3286.36,3349,4548,617.95,622,854,278.82,273,406,42.05,33,107,0.87,0.898,1,1.02,0.9,2.6,1.86,1.87,3.93
Reaper,25,14,11,56,6.24,6,18,3.4,4,7,9.16,10,18,7.87,5.75,25,14282.68,14620,24285,8793.28,7434,16140,6416.4,6666,11205,480.16,509,788,29.26,27.8,50,1.6,1.6,2.4,508.36,497,928,843,838,1527,37.48,39,63,19.28,20,32,10.24,10,13,134.36,119,323,3386.36,3358,5077,608.84,656,892,292.8,299,420,44.8,53,109,0.87,0.861,1,1.13,1.2,3.3,1.57,1.31,3.27
Quiller,28,18,10,64.3,6.57,7,12,3.64,3,9,11.61,13,21,10.99,8.33,26,18836.39,19253,32014,10443.32,10995,17087,5491.46,5711,9967,539.04,521,896,33.07,33,43.1,1.71,1.7,2.8,298.18,295,411,583.29,573,783,45.54,47,63,27,27,36,11,11,12,179.11,178,346,3688.93,3868,4676,633.64,663,884,310.75,318,403,45.04,41,103,0.88,0.917,1,1.15,1.2,2.5,2.25,2.09,4.44
Volstrov,19,6,13,31.6,2.63,2,8,5.42,6,8,7.58,5,22,3.31,1.17,13,11042.26,11354,14940,6139.53,5697,12356,6958.32,6735,11217,302.58,283,540,22.77,22.4,38.5,1.11,1.2,1.6,263.32,260,349,490,482,894,12.47,13,20,14.74,15,22,9.68,9,13,171.89,170,296,2811.37,2488,4371,502.47,462,742,268.26,252,446,67.11,72,116,0.8,0.782,0.963,0.45,0.4,1.4,0.94,0.8,2.17
Hana,43,18,25,41.9,2.86,2,10,4.05,5,8,9.79,7,24,6.98,2,27,9750.74,9694,21186,6211.98,6273,14865,9338.56,9331,20063,0,0,0,21.37,22,38.2,0,0,0,406.4,371,807,661.56,645,1308,12.23,12,22,33.56,33,60,9.47,10,12,135.05,134,333,2863.53,2917,4560,519.09,499,749,281.19,272,430,47.56,57,104,0.85,0.831,1,0.49,0.4,1.6,0.72,0.66,1.94
