gameIndex,winner,gameDuration,score0,score1,id,className,team,role,dmgType,kills,deaths,assists,kda,dmgDealtTotal,dmgDealtToHeroes,dmgTaken,hpHealed,dpsToHeroes,hpsHealed,maxBurst1s,maxBurst3s,spellCastsQ,spellCastsE,level,gold,totalGold,goldPerMin,timeAlive,timeDead,survivalRate,killsPerMin,dmgEfficiency,items
0,1,282,13,150,bot0_1,Oracle,0,MAGE,physical,1,8,3,0.5,4337,1482,8062,94,8.4,0.5,198,340,10,11,8,40,2090,445,177,104,0.63,0.2,0.18,"special_lifesteal;basic_power;basic_power;basic_hp;basic_as;basic_armor;basic_mr"
0,1,282,13,150,bot1_1,Lynx,1,SLAYER,physical,18,1,9,27,23831,14990,3040,779,55.7,2.9,658,1090,47,33,12,102,4552,969,269,13,0.955,3.8,4.93,"special_lifesteal;basic_power;basic_power;basic_hp;basic_power;basic_as;basic_hp;basic_as;basic_power;basic_as;basic_hp;basic_mr;basic_power;basic_armor;basic_mr"
0,1,282,13,150,bot0_2,Mage,0,MAGE,magical,1,7,3,0.57,11040,3586,8087,209,19.2,1.1,435,473,35,16,9,71,2171,462,187,95,0.664,0.2,0.44,"special_lifesteal;basic_power;basic_power;basic_hp;basic_haste;basic_armor;basic_power"
0,1,282,13,150,bot1_2,Quiller,1,SLAYER,physical,5,1,21,26,13056,7416,3236,462,26.3,1.6,309,713,37,26,11,100,3625,772,282,0,1,1.1,2.29,"special_lifesteal;basic_power;basic_hp;basic_power;basic_as;basic_mr;basic_hp;basic_power;basic_as;basic_as;basic_hp;basic_mr"
0,1,282,13,150,bot0_3,Jailer,0,TANK,magical,0,7,4,0.57,7798,3164,11444,0,16.6,0,389,591,16,15,8,140,1990,424,191,91,0.677,0,0.28,"basic_hp;basic_hp;basic_armor;basic_hp;basic_mr;basic_armor;basic_power"
0,1,282,13,150,bot1_3,Reaper,1,SPLITPUSHER,magical,5,1,22,27,12020,8418,3216,0,31.2,0,375,757,35,18,11,61,3711,790,270,12,0.958,1.1,2.62,"basic_hp;basic_hp;basic_mr;basic_hp;basic_armor;basic_haste;basic_power;basic_hp;basic_mr;basic_mr;basic_as;basic_hp;basic_mr"
0,1,282,13,150,bot0_4,Cleric,0,SUPPORT,magical,2,8,2,0.5,5640,2765,9686,1934,15.2,10.6,293,351,23,18,9,144,2244,478,182,99,0.647,0.4,0.29,"basic_hp;basic_hp;basic_armor;basic_hp;basic_armor;basic_mr;basic_power;basic_haste"
0,1,282,13,150,bot1_4,Summoner,1,MAGE,magical,2,1,13,15,7072,2578,3044,0,9.5,0,180,258,34,16,9,43,2718,579,270,12,0.958,0.4,0.85,"basic_hp;basic_hp;basic_power;basic_power;basic_hp;basic_mr;basic_haste;basic_armor;basic_hp;basic_as"
1,1,258,7,152,bot0_1,Pyromancer,0,SLAYER,magical,1,6,0,0.17,9930,3144,6524,107,17.7,0.6,412,556,16,14,9,269,2044,475,177,81,0.686,0.2,0.48,"special_lifesteal;basic_power;basic_hp;basic_haste;basic_mr;basic_armor"
1,1,258,7,152,bot1_1,Zephyr,1,SPLITPUSHER,magical,4,0,13,17,12871,7286,2538,0,28.2,0,280,449,31,29,9,97,2897,673,258,0,1,0.9,2.87,"basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_armor;basic_haste;basic_hp;basic_armor;basic_hp"
1,1,258,7,152,bot0_2,Hana,0,TANK,magical,0,5,1,0.2,7217,3118,8046,0,16.1,0,252,276,7,25,8,227,1902,442,194,64,0.751,0,0.39,"basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_hp"
1,1,258,7,152,bot1_2,Summoner,1,MAGE,magical,0,1,15,15,6582,3905,2346,212,15.9,0.9,176,238,38,19,9,251,2376,552,246,13,0.951,0,1.66,"special_lifesteal;basic_power;basic_power;basic_power;basic_hp;basic_hp;basic_haste"
1,1,258,7,152,bot0_3,Oracle,0,MAGE,physical,0,5,1,0.2,9169,2955,5417,120,15.3,0.6,485,608,13,11,9,148,1923,447,193,65,0.747,0,0.55,"special_lifesteal;basic_power;basic_hp;basic_as;basic_mr;basic_armor"
1,1,258,7,152,bot1_3,Eggchanter,1,SUPPORT,magical,4,0,14,18,4571,3535,4868,7112,13.7,27.5,147,193,30,14,9,158,2908,676,258,0,1,0.9,0.73,"basic_hp;basic_hp;basic_hp;basic_hp;basic_mr;basic_mr;basic_armor;basic_power;basic_mr;basic_armor"
1,1,258,7,152,bot0_4,Jirina,0,FIGHTER,magical,0,3,1,0.33,8666,2931,6122,1173,13.4,5.4,463,515,21,7,9,22,1947,452,218,40,0.845,0,0.48,"basic_hp;basic_hp;basic_hp;basic_mr;basic_hp;basic_mr;basic_armor"
1,1,258,7,152,bot1_4,Kratoma,1,SLAYER,physical,11,0,6,17,11061,7420,3723,335,28.7,1.3,315,585,21,22,10,299,3549,824,258,0,1,2.6,1.99,"special_lifesteal;basic_power;basic_hp;basic_power;basic_power;basic_as;basic_hp;basic_as;basic_hp;basic_as;basic_mr"
